sozshakllar,soni
qiling,6
yarashgan,6
chetiga,6
ko‘chadan,6
tashladi,6
ko‘ring,6
boshlanadi,6
a,6
urgan,6
yalindi,6
bunisi,6
ketardi,6
indamadim,6
do‘xtir,6
o‘ragan,6
paxta,6
paytda,6
siyrak,6
qaytarib,6
chetidagi,6
oqarib,6
uzatdi,6
gapga,5
devorga,5
nariroqqa,5
aybdordek,5
muttasil,5
kechib,5
tirab,5
borar,5
xullas,5
tepamga,5
tiqdi,5
opamni,5
ko‘rpachaga,5
oling,5
buzog‘ini,5
surdi,5
pochcham,5
oyog‘idan,5
ergashib,5
ukol,5
tiqib,5
bechorani,5
uzatib,5
tizzasiga,5
shinelining,5
hovlidagi,5
nimadir,5
yonidan,5
o‘ralgan,5
ketdi-ku,5
ishonch,5
hammasiga,5
tuproqqa,5
g‘ira-shira,5
buzoq,5
xijolat,5
qorning,5
xotinning,5
jiyron,5
tutgancha,5
g‘ildirak,5
yuradigan,5
qishda,5
cho‘zilib,5
chinoq,5
achinskaga,5
soqqam,5
opamga,5
darvozadan,5
ergashdim,5
oxirgi,5
baxmal,5
pocha-po‘stinli,5
bordik,5
sochini,5
ko‘tardi,5
bir-ikki,5
havas,5
kel,5
olsangiz,5
chiqdi-yu,5
deyapman,5
bag‘riga,5
oyimdan,5
piyola,5
yerni,5
yog‘ini,5
ko‘rardim,5
nalugchi,5
ketgani,5
valiga,5
sigirini,5
ahvoli,5
qarab-qarab,5
pishqirib,5
keyingi,5
yuvib,5
qisilib,5
chang,5
ingrab,5
tahdidli,5
o‘lay,5
zarda,5
kimdir,5
echkim,5
charaqlab,5
bozorga,5
olmang,5
bo‘g‘iq,5
qayerda,5
burnimni,5
kabob,5
majbur,5
do‘ppisi,5
beradigan,5
yengining,5
judo,5
o‘tdi,5
tog‘,5
xo‘jaga,5
ko‘rdi-yu,5
valining,5
jimgina,5
hammaning,5
bo‘lsangiz,5
qanchalik,5
yuzimni,5
go‘sht,5
ko‘zoynak,5
yalang,5
surib,5
tovush,5
chekib,5
daraxt,5
xo‘rsinib,5
gaplar,5
hammaga,5
chinqirib,5
eshigi,5
aytsam,5
sirg‘anib,5
anhorga,5
tilovat,5
silkitib,5
tovushda,5
eshitiladi,5
yuboradi,5
to‘rtta,5
bora,5
oldingi,5
noiloj,5
aytdim,5
etagiga,5
nok,5
yoqda,5
so‘mga,5
qabriston,5
xayolimga,5
yotar,5
gulining,5
ko‘rdingmi,5
kosa,5
esingizdami,5
qichqirdi,5
davlat,5
derazaga,5
o‘ngimga,5
oydin,5
haydab,5
kuya,5
chakka,5
tush,5
qalqib,5
peshonamni,5
qilmaydi,5
uradi,5
fol,5
rost,5
yaqinda,5
hovlining,5
ko‘rishi,5
kishining,5
shuki,5
termildi,5
shoshma,5
kelar,5
o‘pib,5
qatorlashib,5
pasaytirdi,5
it,5
boshlaydi,5
chetini,5
qilmadi,5
qolaman,5
mudrab,5
sekin-sekin,5
borasan,5
chekkasida,5
devordagi,5
qo‘shilib,5
urdi,5
sindi,5
xonasiga,5
chiqdim,5
shoshib,5
supa,5
allaqaysi,5
oycha,5
qisdi,5
sochi,5
qayoqda,5
yedik,5
yaktagining,5
sudrab,5
ilingan,5
chalib,5
pirpiratib,5
qirg‘inbarot,5
tagidan,5
sira,5
yoq-bu,5
tashlangan,5
ko‘proq,5
borarkanman,5
kular,5
ikkilanib,5
karaxt,5
uxla,5
sandalga,5
bo‘lmasin,5
tengi,5
tushirdi,5
tashlagan,5
akbar,5
bog‘langan,5
menam,5
derazadan,5
yuzimdan,5
demak,5
toldi,5
savob,5
shoshilmasdan,5
o‘sma,5
qattiqroq,5
uchta,5
isi,5
go‘yo,5
hasrat,5
opamiz,5
ber,5
tashlaydi,5
kelinposhsha,5
gavjum,5
umid,5
chiqsa,5
yopirilib,5
suqdi,5
nosini,5
der,5
paytlari,5
baralla,5
akang,5
ammamga,5
janjal,5
qilgani,5
qolgandek,5
ko‘prikdan,5
kipriklarini,5
holdan,5
unsiz,5
oyga,5
yomg‘ir,5
shishib,5
devor,5
nos,5
tashqariga,5
ichkarida,5
yursam,5
otilib,5
aldashdi,5
bunchalik,5
ikkinchisi,5
hammayoqni,5
ichirdi,5
ichkaridan,5
ajratib,5
bersin,5
bo‘lgandek,5
qurug‘i,5
qiya,5
birga,5
qo‘shnilarga,5
ketib,5
o‘tiradigan,5
qarz,5
ularni,5
yetim,5
to‘rtinchi,5
gapi,5
tushishi,5
allanimalarni,5
qulog‘im,5
bordi,5
singlim,5
bo‘lmay,5
sigir,5
qo‘limda,5
yura,5
choyxona,5
hayqirdi,4
derdi,4
egib,4
yelka,4
do‘ppimni,4
chekkasidagi,4
bolalik,4
shiftga,4
avvaliga,4
o‘tiribman,4
ma’rab,4
suhbatlashib,4
ko‘rpacha,4
titragancha,4
eson-omon,4
tushungandek,4
ustara,4
ushlagancha,4
kirdi-yu,4
poy,4
ostidan,4
to‘sdi,4
to‘ng‘illab,4
gapira,4
balandlatib,4
o‘tiribsizmi,4
onang,4
namat,4
aytganidek,4
chiqsam,4
oyisini,4
olar,4
xirillab,4
oyi-i-i,4
yig‘i,4
o‘tirishdi,4
og‘iz,4
dumalab,4
baquvvat,4
ko‘ylagi,4
singil,4
allanima,4
qilt,4
cheti,4
o‘xshar,4
ko‘rinmas,4
kechki,4
javob,4
o‘ynayotgan,4
ko‘rdim-a,4
bo‘lishi,4
ketsa,4
mayin,4
ayrilib,4
ko‘ksiga,4
kimning,4
xo‘rozning,4
ishim,4
qirib,4
motorni,4
qayirib,4
qizarib-bo‘zarib,4
birodar,4
shoshilib,4
chiq,4
sachrab,4
kiradi,4
ahmoq,4
kirdim,4
orqa,4
xolos,4
so‘mlik,4
qoraquloq,4
hayqirib,4
o‘pdi,4
aqalli,4
qizg‘aldoqlar,4
alpozda,4
yuborishdi,4
tuzalib,4
katta-kichik,4
oyog‘imga,4
atrofida,4
yurar,4
tinchlikmi,4
yonimda,4
manga,4
bo‘lasiz,4
telpagini,4
oshxonada,4
poylab,4
kerak-da,4
osmondan,4
chiqishdi,4
gapining,4
berish,4
sochar,4
sho‘rlik,4
bog‘,4
xohlasa,4
oladigan,4
skameykaga,4
biram,4
sirli,4
yopgan,4
balki,4
titraydi,4
iyagini,4
qizini,4
lavlagi,4
qo‘limdagi,4
salo-o-om,4
shimining,4
ochilib,4
urushga,4
qo‘llarini,4
varrak,4
mumkin,4
yelkasini,4
suyangan,4
bironta,4
chimirilib,4
chaqiradi,4
pinjiga,4
ishni,4
otasi,4
joyi,4
dori,4
bosgancha,4
suti,4
katalakdek,4
o‘pkasi,4
qirov,4
yog‘li,4
asli,4
o‘tgandan,4
peshonamdan,4
qulog‘iga,4
nosqovog‘ini,4
silliq,4
chiqmay,4
porlab,4
ilinib,4
o‘tiraveradi,4
ertalabdan,4
jamiki,4
turarkan,4
qilding,4
ko‘ngli,4
dilini,4
echkiga,4
nariga,4
ozg‘in,4
tutdi,4
ediki,4
osmonga,4
deysiz,4
shayxning,4
ko‘m-ko‘k,4
to‘nka,4
onasining,4
oshirib,4
onalarning,4
baloga,4
tagi,4
kuchugimiz,4
erkaklar,4
yeliniga,4
parda,4
tabassum,4
mahmud,4
yakshi,4
o‘zingni,4
borarkan,4
chiqamiz,4
kesak,4
lip,4
samovar,4
eshitgan,4
boshlagan,4
ko‘pik,4
xotiralar,4
bo‘layotgan,4
tag-zoti,4
gavdasi,4
qorni,4
o‘tdi-da,4
ilgari,4
keyingina,4
mo‘ylov,4
qolmadi,4
xotirjam,4
yupatdi,4
salo-o-m,4
xarxasha,4
dam-badam,4
isroil,4
boshlanmaydi,4
mengayam,4
to‘kilgan,4
qolasiz,4
savdolashib,4
bildim,4
boshladim,4
yumush,4
yelkasi,4
aytardi,4
juvonga,4
ketganini,4
ko‘rsatdi,4
hammani,4
qaraydi,4
yetganda,4
kelmadi,4
qilgancha,4
aqlim,4
qayerdan,4
o‘tirdi,4
onajon,4
boramiz,4
tovlanib,4
o‘rik,4
choyni,4
qulog‘idagi,4
ekansiz,4
aylanadi,4
borsa,4
avvalgidek,4
qo‘yaver,4
o‘sgan,4
qaramadi,4
zor,4
tipirchilab,4
botirib,4
boqib,4
o‘zingizni,4
oldirib,4
qaytaradi,4
lop,4
maqtab,4
yulqib,4
taqdir,4
yong‘oqlarni,4
ko‘zimdan,4
qoravoylar,4
bashoratxonni,4
haq-qu,4
aka-uka,4
xaltani,4
qarar,4
haqida,4
vaqtlar,4
shang‘illadi,4
o‘g‘il,4
ko‘zlariga,4
og‘riydi,4
xudoning,4
qilasiz,4
turmush,4
yodimga,4
qulog‘imga,4
obaki,4
qaytaga,4
kunlar,4
qorda,4
oyog‘imni,4
chetga,4
boshimdan,4
eringiz,4
aralashdi,4
maslahat,4
doka,4
meniyam,4
barmog‘ini,4
og‘zimga,4
beray,4
avjiga,4
chiyillab,4
opajon,4
sinib,4
o‘girilib,4
bir-birini,4
ochsam,4
imlab,4
oti,4
darsdan,4
shuyam,4
aslida,4
yigitning,4
sepib,4
tayoq,4
to‘nkarilgan,4
sigirni,4
g‘isht,4
iltimos,4
sap-sariq,4
cho‘g‘,4
nimqorong‘i,4
turdi-yu,4
ishqalab,4
tamaki,4
ketaveradi,4
sidqidildan,4
o‘ynatib,4
muzdek,4
ichini,4
molini,4
akasi,4
chiqdi-da,4
yotdi,4
jiydalar,4
cho‘tir,4
emasligini,4
ko‘ylagini,4
ro‘molini,4
azob,4
samovarni,4
garangsib,4
achinib,4
oyoqda,4
shinelini,4
qoshi,4
qilaylik,4
daraxtga,4
tishimni,4
ketamiz,4
yo‘g‘on,4
buvanikiga,4
yayraydi,4
sayraydi,4
piligi,4
bo‘ling,4
sholcha,4
aralashib,4
yupatadi,4
qilishadi,4
hassa,4
